SeqNo,text,hashtags,comments,likes
796,796,"Gracias a nuestros hermanos de @scoutscolombia por esta fantastica receta de huevonaranja. No dudes en hacerla en tu próximo acantonamiento con tu manada, o en el campamento con tu patrulla.

Siempre lo mejor 🐺🐾⚜️✌️",heforshe,|#manada #manadagscoutjosesmith #scouts #scout #ods #sivaods #heforshe #maracay #siemprelomejor #diversion #alegria #happymoments #formandociudadanos #akela #lobatos #lobeznas #baloo #chill #hermanogris #bagheera #comunidadactiva #2019 @scoutshp @scoutsaragua,13
797,797,"#HeForShe Head of state Champion President of Iceland His Excellency Guðni Th. Jóhannesson is committed to make sure that everyone takes action towards gender equality
Today we share the story of Kristinn Óli Haraldsson (Króli) from an ad campaign in 2018 by UN women Iceland. #IMPACTreport 2019.
Full Story (Link in Bio)
Have you made the #HeForShe commitment to #genderequality?
Click I COMMIT at HeForShe.org",heforshe,"|Танюшка... если тебе#нужны денги то попробуй как я пора,ботать в инете... 40тыщ в неDелю всегда есть, ниче сложного ваще нету... почитай мой проифль, там всё есть|#save_the_iraqi_people",594
798,798,"Just a little reminder in case you thought your worth and happiness were somehow determined by this app. #bemore
PC @thefemalewarhol",heforshe,"|.
.
.
.
.
#bemoreyou #IAmgirl #banbossy #womenshould #girlpower #girlsempowerment #morethanafilter #womensempowerment #businesswoman #girlboss #femalemotivation #lovethyself #selflove #bodyempowerment #girlgang #effyourbeautystandards #imwithher #tothegirls #heforshe #bodypositivity #realgirl #bopo #girlup #loveyourself #morethanyousee #spreadgirllove #iweigh|I don't have but is really|👏🏽 👏🏽 👏🏽 👏🏽 👏🏽",200
799,799,"Lucy Bronze is an English footballer who plays as a right-back for French club Olympique Lyonnais and the England national team.

Bronze represented England at all youth levels before featuring in the full national squad at Euro 2013. She played in the 2015 World Cup, helping England to third place, and the 2019 World Cup in which they finished fourth. She has won the PFA Women's Players' Player of the Year award twice – in 2014,and again in 2017. In 2018, she was named BBC Women's Footballer of the Year. In 2019, she became the first English footballer to win the UEFA Women's Player of the Year Award. Bronze is widely regarded as the world's greatest right-back.

Watch the female lead's interview with Lucy here:
⠀
https://buff.ly/2n8CRkt⠀
.⠀
.⠀
.⠀
.⠀
.⠀
#feminist #feminism #workhard #youmatter #worth #youmatter #History #slay #metoo #timesup #selfworth #believe #empowerment #InspirationalWomen #inspirational #protest #positivevibes #positivity #love #heforshe #achieve #success #support #Dream #hustle101 #instagood #kindness #strength",heforshe,|@emilyclairelemmer,100
800,800,"Lxs invitamos a nuestra siguiente junta de colaboradores #HeForShe el próximo Sábado 5 de Octubre. ¡No se pierdan la oportunidad de formar parte de los eventos, colaboraciones y campañas que tenemos planeados para este semestre! #EstáEnNosotrxs #SomosHeForShe
⏰Horarios:
.👉🏻11:30AM: Nuevxs Colaboradores
.👉🏻12:30PM: Colaboradores Activxs",heforshe,|👏👏👏,46
801,801,"Amelia Mary Earhart was an American aviation pioneer, author and the first female aviator to fly solo across the Atlantic Ocean. Would you call her a bitch?  #sexistdictionary #iamnotabitch #languagematters #everydaysexism ⁠
・⁠
・⁠
・⁠
・⁠
・⁠
#sexistdictionary #IAmNotABitch #womensrights #equality #genderequality #feminism #rapecultureiswhen #whyistayed #iamanastywoman #everydaysexism #yesallwomen #fem2 #bringbackourgirls #heforshe #imwithher #tothegirls⁠",heforshe,|No no and no 🙌🙌🙌,24
802,802,"ᴴᵉᵃᵛᵉⁿ ⁱˢ ᵃ ᵖˡᵃᶜᵉ ᵒⁿ ᵉᵃʳᵗʰ ʷⁱᵗʰ ʸᵒᵘ
Dear Em;
First of all i just want to tell that thank you... Thank you that u want to make the world a better place... Thank you that u helping people with your movements and with your speeches...thank you that u are a good person in the world... that u are feminist... I made this edit to everyone remember what u did for the earth and the people and you will want to do in the future... thank you for made our home better; @emmawatson
-
[happy birthday @emmalilcutie ily❤️]",heforshe,"|Aaaw love thiss😪😪❤️❤️❤️|Ure so talented bby☺️☺️❤️|I love this😍❤️|💖💖💖💖💖|aw my heart 🦋❤️|Tags|I love this wow- 😢pls i-|Ilovehersm and u pls she's precious😍|Ty for this!💘|you're so talented|So beautiful|Aww this is so beautiful💙|omg teach me please😭❤️|This is so cute ♥️♥️|This is so good|Talentt|Arttt|This is amazing! 💘💓💗|I love it😍😍|This is so cute awe❤️|I’m 🥺|Love uuu|This edit it’s woaaahhh|WOAH|Awwwww! 😍|Omg this is so cuteeeee♥️😭😭|Dorina, you’re AMAZING!!✨✨❤️",202
803,803,"▪️Emma W. ▪️
.
.
.
#drawing #drawing #draw #chineseink #inkonly #ink #lines #inktober2019 #inktober #blackandwhite #blackonly #blackwork #blackworkers #emmawatson #woman
#womanportrait #heforshe #womanpower #humanrights #myworkJN #jnoctua
What a pleasure to draw the sweet and inspiring @emmawatson
Inspired by a photo of Olivia Richardson.",heforshe,|Très jolie portrait ! 🌹|La plus belle 😍|😍,21
804,804,"Ja, den riktar sig till dig! 🙂 Alla med intresse för idrott och jämställdhet är varmt välkomna!

Kontakta Thomas.gehoor@vgidrott.se för mer info och anmälan. Vi undersöker gärna möjligheten att finansiera helgen för dig. 🙂

Vi har bokat hotellrum, måltider och konferenslokaler på Hotel Arken, Hisingen i Göteborg.

Program
Torsdag 24 oktober kl. 18.00 – 20.30
Charlotte Ovefelt - IF Brommapojkarna fotboll, BP, har som enda idrottsförening i Sverige fått statsbidrag från jämställdhetsmyndigheten för att arbeta med jämställdhetsprojekt under 2019.

Charlotte Ovefelt är anställd Jämställdhetsstrateg i fotbolls-Europas största barn- och ungdomsförening. Hon kommer att måla upp en bild av hur varje förening kan ta sitt ansvar i jämställdhetsfrågan, med konkreta exempel.

Fredag 25 oktober kl. 08.00-09.00 (Frukost 07:30)
Ida Lindgren - Judo5-konceptet. Det startade som ett strategiskt jämställdhetsarbete i en Judoförening och har nu, 5 år senare växt till ett prisbelönt koncept för jämställdhetsintegrering, applicerbart på alla idrotter. Ida Lindgren, svensk mästarinna, engagerad i RF:s etiska råd och med en lång rad erfarenhet av hållbarhetsarbete föreläser.

Fredag 25 oktober kl. 17.30 – 20.00
Utveckla arbetet med jämställdhetsintegreringen i din förening. Charlotte Axelsson är handledare i Försvarsmaktens utbildningskoncept i Jämställdhet, Genus och Ledarskap (JGL). Hon har även många års erfarenhet av jämställdhetsintegrerande ledarskap inom idrotts-rörelsen.

Lördag 26 oktober 9.00-12.30
Utbildarutbildning med Dino Ilecic: In- or outside the box

Dino har sin bakgrund inom tennisen och har ett stort intresse för idrottens roll i samhället. Dino har utformat vår egen utbildning ”In or outside the box” och håller under förmiddagen en utbildarutbildning i materialet.

Lördag 26 oktober 13.00-14.30
Föreläsning efter lunch: Peter Rung (tidigare Svensson) - FN:s jämställdhetsenhet UN Women. Peter föreläser om jämställdhetsarbete i koppling till idrott. Få kunskap om hashtagen #heforshe och konceptet ”Ta snacket” som används inom idrottsrörelsen.",heforshe,"|❤️|@peter_rung_ @chaxelsson @dinoilecic @covefelt 🙂|@forumjamstalld @jamstalldhetsmyndigheten @jamstalldfotboll|Våra ambassadörer, vill ni sprida eller kanske va med som deltagare? 🙂❤️ @mariarooth @louisand @iamanderssvensson @pia.sundhage @tildamatthijs @johaneuren m fl.",23
805,805,"Скоро в кожній українській оселі HeForShe. В ролі «He” @dmytro_kuleba , в ролі «She” @nmykolska . Все це @heforshe_ukraine congress 2019 . А ще це була подорож місцями бойової слави! #heforshe #womenempowerment #sheexports",heforshe,|💗🖤|Оскар селфі✨☺️,64
806,806,"Live.
-
#unwomen #heforshe 
#nicoledasilva #love #instagood #frankydoyle #tbt #photooftheday #instamood #picoftheday #francescadoyle #beautiful #instadaily #summer #instagramhub #igdaily #bestoftheday #happy #fashion #followme #fun #fashion #wentworth7 #booms #bts #tbh #wentworth @unwomenaust",heforshe,|❤️❤️❤️😍😍😍😍|❤️👄👄,52
807,807,"Her impressions are so cute omg 🥰
。
。
。
。
。
。
。
。
。
。
。
。
。
。
@emmawatson #emmawatson #emmawatsonfan #emmawatsonlove #emmawatsonfanpage #movies #hermionegranger #hermionegrangeredit #hermionejeangranger #love #beautiful #perksofbeingawallflower #samanthadutton #theblingring #nikimoore #thecircle #maeholland #actress #thetaleofdespereaux #princesspea #balletshoes #aweekwithmarilyn #colonia #noah #regression #littlewomen #idols #beautyandthebeast #heforshe #yourvoiceinmyhead",heforshe,|But i like her and her impressions 😍. She is the best in the world,623
808,808,"He thought he could just take it for himself...he was wrong about that.⠀
⠀
#BelieveWomen #BelieveSurvivors #WhyIDidntReport #WomensReality #TimesUp #NoMoore #NeverMoore #MeAt14 #IAmANastyWoman #ImWithHer #EverydaySexism #ToTheGirls #WhyIStayed #HeForShe #YesAllWomen #EffYourBeautyStandards #Fem2 #GirlsLikeUs #MasculinitySoFragile #PrettyPeriod #RapeCultureIsWhen #AllMenCan #WhyILeft #AddWomen #FreeTheNipple #BindersFullOfWomen #PeriodsAreNotAnInsult  #IWillGoOut #WomenBoycottTwitter",heforshe,|💯|Dude your work is incredible 🤘🏼 ty|D A M N,87
809,809,AUB Women at Work is live! Join us at the GA to learn more about how you can be a part of a community that supports women’s career paths #HeForShe,heforshe,|👑👑👑👑👑👑|Yes!!!!!!!!💕💕💕💕💕 see you at the GA and stand|Yaaass gurl @hiba.ahmad 🔥😍|Wowowowow!!!🤩|😍😍😍😍|U go girls 🔥🤩|😍😍|Yassssss❤️❤️ @yassminahashem|fabulous ⭐️|Go girlss🔥🔥|So proudd 😍😍🔥🔥|❤️❤️❤️❤️❤️❤️|Proudddd 💓💓💓💓|👏🏻👏🏻💖💖|Love this|❤️❤️❤️|Hagop would be so proud!|Yas😍|Yassoooo😍😍🔥 @yassminahashem|❤️❤️❤️❤️|love this girls!!!!!😍|❤️❤️❤️❤️❤️|Um in|😍|😍👏🏻|❤️❤️❤️❤️|@sana_mansour23 HABIBIIII|💗💗💗💗💗💗|😍😍😍😍😍|💗💗💗|@ayasammak|Amazing!! Super proud|WLEK PROUD @yaraboumaachar @nadeenmaalouf @joyhaddad|Love it @hiba.ahmad|🔥|Go women!!!!|@sana_mansour23 @hiba.ahmad ♥️♥️♥️|😍😍😍😍😍😍|Good luck girls💪🏻|@sana_mansour23 aayyyy💕💕🔥🔥💪🏼💪🏼|YAAASSS🔥🔥🔥🔥|Yayyyyyy,153
810,810,"Coragem, no dicionário, é a firmeza de espírito para enfrentar situação emocional ou moralmente difícil
.
Coragem, pra mim, é o medo que realizou suas orações
.
Eu gostaria de me juntar a outras mulheres pra falar sobre alcoolismo
.
Eu gostaria de ver mais mulheres, portadoras dessa doença, vencendo o medo e a culpa e buscando ajuda
.
Só eu posso mas não posso sozinha
Grazi❤",heforshe,"|Lindooooo Grasiele ,👏👏👏👏|Te amo 💗|#superação #alcoolismo #alcoolicosanonimos #alcool #suavozimporta #aliadas #alcoolismoemmulheres #empreendedorismofeminino #empreendedorismosocial #impactosocial #juntassomosmaisfortes #bh #mg #diversidade #cadamulherconta #mulhereselétricas #aquiestaoasmulheres 
#justacausa #asperennials #permitir
#amorexigente #dependência #codependência #codependêncianuncamais  #heforshe #asaideira #rme #soeupossomasnaopossosozinha|Iluminada 😍|👏👏👏👏|Parabéns minha linda,por esse exemplo maravilhosa,você é uma mulher gigante,em forças espirituais. 👏👏👏|👏👏👏👏👏👏👏 parabéns prima !!!!!|👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻Grazi vc é demais!!!!!! Parabéns amiga|Vai arrasar Grazi, com certeza. Vai ser super top. Vc domina 👏👏👏👏👏👏 😉👊🚀|Amooooo! Vc é fera Grazi!❤️❤️❤️|Orgulho de ter tu como minha amiga!|Parabéns pela iniciativa, vencer a exposição, vencer os tabus , por uma causa nobre que pode salvar muitas mulheres dessa doença silenciosa e devastadora ... 😘❤️|Parabéns por sua iniciativa, Grazi!! 👏😍❤️|Amando esse seu momento ... exteriorizar para ajudar|❤️❤️❤️❤️",67
811,811,#harrypotterandthegobletoffire #harrypotterandtheprisonerofazkaban #harrypotterandthesecretchamber #tom #emmawatsonedit #out #beautyandthebeast #hermionegrangeredit #hermione #harrypotterfan #hermionejeangranger #actress #heforshe #emmawatsonlover #noah #colonia #watson #perksofbeingawallflower #theblingring #nikimoore #balletshoes #maeholland #thetaleofdespereaux #hogwartsmystery #emmacharlotteduerrewatson #foto #emma #actor #wizardingworldofharrypotter #love,heforshe,|Adoro - te mesmo muito|Love u Emma from India,42
812,812,"What we really really want ♥️ SWIPE!  #endviolence #education4all #endchildmarriage #equalpay #equalrights
Video credits: @theglobalgoals .
.
.
#whatireallyreallywant #wannabe #spicegirls #feminism #sdgs #heforshe #globalgoals #sustainablelifestyle #sustainabledevelopment #girlpower #wednesdaywisdom #autumn #igersdaily #music #humanrights #justice #education #peace #wednesday #october #women #girls",heforshe,|♥️♥️♥️🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🔝❤️,19
813,813,"#Sunday Nightscares:
October’s #Sunday #Program
@tvbpearl #HeForShe 
#Hongkong #Halloween",heforshe,|好型阿！😍|😂😂😂😂 i was like “whatcha doin bro?”|I like your shirt bro|T shirt is great|😂,306
814,814,"Agradeço a todas e todos vocês, que me incentivam nessa nova jornada!
.
Em especial:
@cesargordinbh @carolgilberti 
@shestheboss.com.br
@srta.pinup 
@bellgoncalvesoficial 
@paitemquefazerdetudo
@casabaanko
.
Às minhas filhas @marcelamullerb @csantoroc  e minha neta Sofia, por um mundo melhor pra vocês
.
Só eu posso mas não posso sozinha
.
Grazi❤",heforshe,"|#superação #alcoolismo #alcoolicosanonimos #alcool #suavozimporta #aliadas #alcoolismoemmulheres #empreendedorismofeminino #empreendedorismo #empreendedorismosocial #impactosocial #juntassomosmaisfortes #conexoes #bh #mg #diversidade #cadamulherconta #mulhereselétricas #aquiestaoasmulheres #permitir
#amorexigente #dependência #codependência #codependêncianuncamais  #heforshe #asaideira #rme #soeupossomasnaopossosozinha|👏👏👏|❤️🤗💓 muito feliz pelas suas conquistas!|💜⚡️💜⚡️💜|Grazi, estou feliz com sua caminhada e conte comigo ❤️❤️❤️|Conte sempre com a gente! 🌹",22
815,815,"😳How many of us heard this as a child? Maybe even said it?

For me, it was in elementary school. A boy in my class would chase me, push me, tease me, and eventually pulled down my underwear in front of everyone while i was on the monkey bars. But each time it happened, and each time it escalated, I was met with the same rationalization by the teachers, “Just ignore him! He only acts that way to you because he likes you.” or “He’s just being a silly boy.” What were the ripple effects of hearing this as a child from a person of authority - a FEMALE teacher - whom I adored and still consider one of my best and favorite teachers?

In the immediate, I never even told my parents*. Even though it FELT BAD in my body, I was told it was ok, normal even. So, for the first time of many, I learned to ignore the message my body was sending and that I made a big deal of things that were not a big deal. (“Don’t be so dramatic” - another favorite #micro-aggression I’ll hear a lot). In the long term, I learned to equate an uneasy feeling in my stomach with love - making it hard to separate those amazing new love butterflies with actual warning signs. 
I learned that boys/men don’t need to listen to our boundaries and that’s just “how they are.” I learned that if I wanted attention from boys (which I did) that it could feel gross but that was a good sign.

And what did that boy learn? What had he been told and modeled to behave like that? Looking back, I’m not sure my teacher was “wrong” - I do think he wanted my attention but why was no one teaching others way to get it and boundaries to respect even if he didn’t?

And what happened to my teacher to think the best advice she could give just to ignore and accept behaviors from men that you don’t like?

These are the tough but important conversations that @manifestingmofo and I will be facilitating in our online class SHE PERSISTED through @offthemat By acknowledging these #microaggressions we can create #microhealing and not only feel and do better for ourselves - but have the vocab and resources to model and teach better behavior to our children. We deserve this, our kids deserve this! 🤞Link in bio to register.",heforshe,"|🧡 love your authenticity! thank you for opening up a space for this conversation|Thank you to @whittiki for the inspo and always inspired convo|👏🏽👏🏽👏🏽|•
•
•
#thisisnotnormal #thisisnotok #knowbetterdobetter #askawhitefeminist #shepersisted 
#Microhealing 
#microagression
#healing #heforshe
#assertive #selfhealers 
#feministisnotabadword
#Intersectionalfeminist
#feministfriday
#dismantlepatriarchy
#metoo
#smashthepatriarchy
#offthematintotheworld
#connectionisthecure
#connectioncoalition|I love this! Can't wait to hear more.|👏🏽👏🏽👏🏽|This is so so so good. I can’t wait to hear how it goes. So proud of you Evan!|👍🏻👏🏼💃🏻There aren’t enough awesome emojis to express how special you are & this message is! Important convo and your sharing gives others a boost to get it started. Love you. ❤️",46
816,816,i already love this cast so much and i can't wait until i'll be able to watch them in action. can you believe the premiere is less than three months away??,heforshe,|#emmawatson #emwatson #emmacharlotteduerrewatson #emmawatsonfanpage #emmawatsonlove #watsonator #ecdw #emmawatsonlover #emmawatsonfan #emmawatsonupdates #heforshe #heforshecampaign #oursharedshelf #harrypotter #hermionegranger #balletshoes #despereaux #myweekwithmarilyn #theperksofbeingawallflower #theblingring #thisistheend #noah #regression #colonia #beautyandthebeast #thecircle #littlewomen #littlewomen2019|omg!! Yes im SO excited!|😻😻😻😻😻|can’t wait to see it omg😭|Yess sksksks|EMMA + TIMOTHEE + SAOIRSE IM SHOOK|AND YES EVERYONE IS SO FRKIN TALENTED AND AMAZING AND BEAUTIFUL|CANT WAIT CANT WAIT|OMG HOW IS IT THREE MONTHS|I REMEMBER LEARNING EMS MIGHT BE IN IT AND NOW-|IS GONNA BE THE MOVIE OF THE DECADE|😍|Ok i cant handle this,169
817,817,"We are launching a Shibori collection! The scarves are of course also 100% vegan, handmade and hand dyed with plants and herbs (twice). For this collection we have used a Japanese tie-dye technique to create beautiful two-coloured patterns. Check them out here: 
www.mybahini.com/collection/shibori 
Photo by incredible @jean_hugo 
#mybahini #empoweringgrowth #comingsoon ⁠
⁠",heforshe,"|·⁠
⁠
·⁠
⁠
·⁠
⁠
·⁠
⁠
·⁠
⁠
#equalrights #equality #girlrising #girlstoschool #yourvoicematters #feminism #feminist #womenempowerment #metoo #onereasonwhyimaglobalfeminist #globalfeminism #timetoact #enditmovement  #equalityforall #womensupportwomen #girlpower #heforshe #standup4humanrights  #standwithher #socialactivism #loveourgirls #sustainablefashion #consciousfashion #veganfashion #ethicalfashion #shibori #fairtradefashion|😱😱😱😱😱|Wow! These are beautiful! ❤️|Wow! Så vackra. Som deras grundare :)|😍😍😍|Would love to collaborate",44
818,818,Bruh @gretathunberg 👏👏,heforshe,"|Follow @_fightforfeminism_ (me) for more
#feminist #feminism #metoo #women #womenimpowerment #strongwomen #girlpower #girlsrights #equality #feministmemes #activist #heforshe #lgbt #female #femalerights #blacklivesmatter #lgbtqia #intersectionalfeminist #intersectional #nomeansno #climatechange #loveyourself #activism #inspirational #girlswholikegirls #loveislove #gay #bodypositive #prochoice #earth|😂😂😂|Orange man bad orangeman bad europe girl sav erth from bad american",466
819,819,Yessss,heforshe,"|@_unknown5583_|Lizzo said it best ""if you feel like a girl, then youre real like a girl. Do your thing & run the whole damn world"" 😛|Having a certain level of values and beliefs does not make you a ""transphobe"", first of all that's not even a word, second of all everyone is raised differently and has diffferent opinions, stop being so butthurt over it.|Yeah it makes that little sense|Wtf|YO ITS PRETTY EASY (unless your blind in which case I apologize)|IF YOU HAVE A COCK AND BALLS YOUR A MAN|IF YOU HAVE A PUSSY YOUR A WOMAN|You are what your born with|Period|Born a male, always a male. Born a female, always a female.|Follow @_fightforfeminism_ (me) for more
#feminist #feminism #metoo #women #womenimpowerment #strongwomen #girlpower #girlsrights #equality #feministmemes #activist #heforshe #lgbt #female #femalerights #blacklivesmatter #lgbtqia #intersectionalfeminist #intersectional #nomeansno #climatechange #loveyourself #activism #inspirational #girlswholikegirls #loveislove #gay #bodypositive #prochoice #earth|Trans women are males,whether they cut off their dick or not|Trans women are males,whether they cut off their dick or not|So a man can’t have an outspoken pro-life opinion BUT with a little make up can become a woman. Can someone explain this? 🤔",1381
820,820,"Färdig med utbildning av Peab yrkesskola i ämnet jämställdhet och #heforshe
Vi berörde även ämnet härskarteknik som ofta kan kopplas till att just trycka ner andra människor pga kön eller tillhörighet. 
Det slår mig att jag just härskarteknik är en oerhört viktig del och kan få människor att må riktigt dåligt. Speciellt när man blir utsatt av någon som betyder mycket. Tex en kollega, familjemedlem eller en vän. 
Ofta vet de inte om att de använder den, men i mina ögon är detta även under rubriken vuxenmobbning. 
Har du råkat ut för något av följande:
1. Att göra dig osynlig
2. Förlöjligande av dig som person
3. Undanhållande av information
4. Dubbelbestraffning
5. Plantera skuld och skam för att du själv ska ta på dig skulden, men inte vet vad du gjort.

Då är du utsatt för härskarteknik. Man kan såklart agera mot detta genom att synliggöra, fråga personen som utsätter dig och söka stöd. Ett ämne som är oerhört intressant då jag själv utsatts för härskarteknik och vuxenmobbning, men det har också gett mig egna upplevda kunskaper som jag inte hade tidigare 🙏🏻
Hoppas jag också levererade en dos kärlek och respekt 🧡 För att just respektera varandra och våra olikheter är nyckeln till ett tryggare samhälle där alla skulle må så mycket bättre 💪🏼
Lämnar Stockholm för färd mot Hedviksfors! Glöm inte att du är bäst ❤️🙌🏼
#härskarteknik #heforshe #jämställdhet #likavärde #kärlekochrespekt #tahandomvarandra",heforshe,"|Så sant. Tänk vilket fint och tryggare samhälle vi hade levt i om vi just kan respektera varandra för våra olikheter.Det psykiska mående skulle avsevärt förbättras. Tack för din kamp, du är  beundransvärd🙏",28
821,821,"Matin rose et poudré 💕 «...j’adore le Rose, ce n’est pas lui qui est le problème. Mais le fait qu’il symbolise la domination d’un sexe sur l’autre. » Rebecca Amsellem (dans le #femmesicietailleursmag n•27 @fia_club)",heforshe,|L'illustration est magnifique !|#boutiquelyon #lyon #monlyon #lyonmaville #lyoncity #ilovelyon #onlylyon #feministe #happysisyphe #girlempowerment #lyonnaise #feminist #feministe #girlboss #heforshe #blogolyon #femininsauvage #empowerment #ecologieinterieure #ecofeminisme #powerfulwomenproject #cercledefemmes #girlpower #createur #illustration #illustratrice,42
822,822,"Revealing to you the colours you could where to anywhere! Especially home for your husband 😘

#suterabyJTT #jamutuntejabrunei #brunei #jamu #organic",heforshe,|#jamutuntejabrunei #notyouraveragejamubrand #energybooster #milkbooster #nakkurus #brunei #malaysia #singapore #bruneionlineseller #ratujamubrunei #jamumelayu #womenpreneur #empowerwomen #HeForShe #ethnobotany #organic #feminine  #bwn #bn #jamutuntejamalaysia #limbang #jamutuntejaborneo,11
823,823,Who likes to stick to one or verrryyyy few lip smacks like me? Launching very soonnnn,heforshe,|#jamutuntejabrunei #notyouraveragejamubrand #energybooster #milkbooster #nakkurus #brunei #malaysia #singapore #bruneionlineseller #ratujamubrunei #jamumelayu #womenpreneur #empowerwomen #HeForShe #ethnobotany #organic #feminine  #bwn #bn #jamutuntejamalaysia #limbang #jamutuntejaborneo,10
824,824,"I believe, nowadays trends are very Bold color Lipstick, very lacquered type of Lipstick, very thick formulation, so that, you ll look Spectacular in the Night event, for example.. I believe too, that we dont have to have that look, to look pretty. Natural Beauty comes in various ways :) SUTERA Lip Therapy is just a blush of color and you are good to go! So presentable. Siapa sini yang suka No Makeup Makeup Look? (Me!) Then SUTERA Lip Therapy is definitely for you!
#suterabyjtt",heforshe,|#jamutuntejabrunei #notyouraveragejamubrand #energybooster #milkbooster #nakkurus #brunei #malaysia #singapore #bruneionlineseller #ratujamubrunei #jamumelayu #womenpreneur #empowerwomen #HeForShe #ethnobotany #organic #feminine  #bwn #bn #jamutuntejamalaysia #limbang #jamutuntejaborneo,10
825,825,"Lebogang is a 28-year-old single mother of two. She worked in a salon in earlier years and has a major passion for fashion and beauty, which motivated her to start her own business, LBeauty Salon.

Lebogang is a lively person and believes in looking good. She loves style, which is why these photos look like a fashion shoot. She loved working with the camera. Her favourite parts of her business are Afro hair treatments and interacting with clients. She’s very popular and had five regular clients popping in whilst we were filming. In some of the images you can see her having lengthy conversations with them.

She takes training very seriously and has exceeded all her trainer’s expectations. “With AWOME, I learnt record keeping, costing, how to manage my business and keeping my sleep. AWOME made a huge difference because now my salon is operating well, the marketing is so good and I’m on social media.” She has a great relationship with her trainer Kgotlelelo, (‘Gotle’). In the images, they are going through her paperwork, her new products and her own LBeauty Oil, which she’s developed and manufactured herself. She has big plans for LBeauty. ""In five years time I want to have a big factory, employing youth like me, with big machines. Right now, I’m manufacturing at home,” she says.

Lebogang is one of over 1,250 women micro-entrepreneurs who we are aiming to support through our AWOME (Accelerating Women-Owned Micro-Enterprises) programme. We’re working in partnership with @UNWomen and governments to accelerate women-owned micro-enterprises across Botswana, Namibia and South Africa.

Link in bio to find out more.

#AWOME #standingwithwomen #HeForShe #buildingforever @debeersgroup @UNWomen
📷 Eugene Nagel @bluegroundassociates",heforshe,|That is good keep up the good work|You are welcome|😂 wow bout time y'all give back ...still at the people knew the truth about the beers diamond mining and what you do for those in the areas from which you steal diamonds you would not be in business,616
826,826,"Dear Emma Watson,

My first introduction to you was like everyone else's, in the role of Hermione. I'd loved her in the books, but oh it was you who brought her to life. And the reason you were so perfect was because you had a bit of Hermione in you. And I had a bit of Hermione in me. It was meant to be.

And when I grew up, and you did too, when life became more than Harry Potter, I saw how real you were. You graduated, started to do other movies and involved yourself in various movements. Whether it was the falling in love with your captive Belle, or the terrified and mistreated Angela, or the bold and confident Nicki, you were nailing it all, and I was a fan. 
But then the exact moment when I realized how inspiring you were was when I saw you campaigning for women and children rights. You started the HeForShe movement and explained how all genders are suffering in some way or other and all need to break from these social constructs. It's been five years now since that started. Your speech in the UN still gives me goosebumps. Your work is making a change and inspires so many each day, every day to work for a better cause.

You came from a position of privilege, and you were able to look past that. You saw what others rarely see and you did something about it. You continue to do something about it. In my opinion, that is the best anyone can do. 
Hermione would be so proud.

Yours,
A HeForShe
.
-------------------------------------------
Associate writer's post by Nishtha (@_nishthaa__ ).
. -------------------------------------------
Tag | Like | Share | Comment
-------------------------------------------
Follow @penned_peeps for more. 
Event updates: @pennedpeeps_updates
YouTube: Penned Peeps 
Facebook: Penned Peeps
. -------------------------------------------
#pennedpeeps #emmawatson #watson #hermione #heforshe #genderequality #goodreads #writerscommunity #writer #writersofinstagram #poetryisnotdead #writing #writersofindia #instapoet #instapoetry #poetrycommunity #objectification #poetsofinstagram #poetryporn #omypoetry #poetrygram #spilledink #writingcommunity #wordgasm #wordsmith #writingprompts",heforshe,"|✨✨❤️❤️❤️|How can one perform?|💕💕💕|💯💯|Loved it! ❤️|Yes I too remember her in the same role! And same story was there in Shaka Lalka Boom Boom daily soap, 90's kids can related to it 😀|Hello guyz❤check my page @the_realwriter_ it has some amazing quotes❤support it😊wish u to haave a good day❤|Hello beautiful people, sending you lots of good october vibes, and good luck for your work, lets follow each other and share peace and happiness❣",156
827,827,"Nosso Espaço novo aos olhos de nossa parceria Mara @nathy.foto . É lindo né? E está cheio de artesanatos incríveis.
Venha nos visitar aberto de quarta a sábado das 14 às 22 hs @shoppingviabrasil .
.
.
#empoderamentofeminino #empreendedora #artesanato #loja #fatimabernardes #encontro #gnt #social #heforshe #sdg4 #mujeres #riodejaneiro #viabrasil",heforshe,|Parabéns @elas_rio !!! 👏👏👏👏|Ainda não visitei o novo espaço! Ansiosa para revê-las.,33
