SeqNo,text,hashtags,comments,likes
10,10,"Speaking at the Bloomberg Equality Summit India, she said while the Indian Parliament continues to make laws for women, it is up to the society to ensure those laws are followed. “It is the responsibility of those who are in the social segment -- be it companies, non-profits or public at large -- who need to recognize the law,” Irani said.

Read more: http://bit.ly/2OYIPjJ
|Website link in bio| 
#bloombergequlity #equalitysummit #equality #women #woman #female #gender #inequality #economy #pay #wagegap #income #jobs #government #administration #laws #parliament #society #smritiirani #irani #minister #unionminister #india #indian #indians #read #more #quote #quotes #quoteoftheday",wagegap,"|👏 @bloombergquint|I want to thank you @trade_with_cheryl_murray for helping earn maximum profit weekly from forex trade, at first I have never believed in currency trading, now I know the magic after my first withdrawal of $10,000 with a start up of $500
👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇
@trade_with_cheryl_murray|Guys, try to help planet and follow my account and I will plant a tree for your follow!|Bloomberg for President",736
11,11,"This ain’t funny folks. You want a scary Halloween? Elect a populist right wing party as your federal government mirroring the chaos seen in Ontario under Doug Ford, the United States under Agent Orange, and the United Kingdom under Boris Johnson. Populism isn’t a political framework - it’s a patchwork of exclusionary sentiments meant to prey on folks who are largely uneducated, afraid of minorities, and distrusting of media, or anything presented as fact. The populist will say and do anything to stay mainstream. Andrew Scheer is no different. Same rhetoric, same plays. Same bullshit political smokescreen to keep Mr. Pennybags wealthy and keep the typical voters hoping they live long enough to see their pension. #socialist #marx #marxism #communismmemes #leftmemes #money #prageru #politicalmemes #helpeachother #eattherich #kapital #leftistmemes #leftistmemes #climatechange #climatestrike #investor #socialistmemes #climatedenial #democrat #ecologicalcollapse #wagegap #incomeinequality #wagewar #productivity #payme #berniesanders #republican #wealthgap #taxtherich #conservative #conservativememes",wagegap,"|You do realize Boris Johnson is better than Jeremy corbyn in every thinkable way|Your statement is indicative of a jaded, poorly-researched worldview. Go outside, smell some flowers, acknowledge that there is no such thing as a perfect system and get on with your life.",93
12,12,"9 Davids.⁣
4 Steves.⁣
8 women. Full stop.⁣
⁣
Running the UK’s top 100 companies. ⁣
⁣
Umm....🤯⁣ *according to research by INvolve.",wagegap,|#wagegap #equalpay #paygap #wealthgap #womenandmoney #womensupportingwomen #financialindependence #equality #femaleempowerment #financialinclusion #sisterhood #financialadvice #financialplanning #wealthmanagement  #financialfeminism #financialfreedom #femaleempowerment #retirement #girlboss #bossbabe #aseatatthetable #financialfuture #womenonboards #leanin #investing #moneymindset|Wow. So sobering.|🙄🙄🙄|This is nuts! @rainchq,31
13,13,"-Lila🌼💛
•
•
•
#feminism #feminist #equality #blm #lgbtq+ #safespace #pride #equalpay #mybodymychoice #prochoice #snowflake #support #reproductiverights #savethebees #scienceisreal  #asexual #bisexual #pansexual #wagegap #abortion #loveislove #gayagenda #fem #gay #trans",wagegap,|Trump isn't a white supremacists tho so|Trump 2020!,181
14,14,"Mucho por avanzar todavía. Las empresas no son las únicas responsables que existan estas brechas, pero sí está en sus manos la posibilidad de cerrarlas. #brechasalarial #wagegap #paygap #brecha #genero #mujeresaltadireccion #women #mujeres #ceo",wagegap,"|Justamente estoy escribiendo un artículo para la revista Actualidad Jurídica, de la UDD, sobre mujer y derecho, y toco, entre otros, ese tema. 
La legislación no basta para provocar los cambios que Chile requiere, que ls mujeres necesitamos|Se ve lejana la equidad y además qué hay demasiado sin hacer, pero quiero aprovechar la ocasión de reconocer y agradecer todo lo que se ha hecho y avanzado, eres una tremenda y maravillosa lider en esto querida @carola_cuevasm ! Un abrazo enorme|Cuánto demorará nuestra transformación cultural? Nos sentimos empoderadas, pero algo pasa cuando debemos dar el salto. Muchos sombreros que administrar?
Gracias subsecretaria @carola_cuevasm  por poner tantos temas de equidad sobre la mesa",50
15,15,"How can ""just a rec league"" aid social change? 🤷‍♀️ Many #FrederictonNB women struggle with the #wagegap. Active #Fredericton now has 13% lower fees for female-matching players. No gimmicks, just one less obstacle to battle with (link in bio)

Are you on the mailing list? Winter leagues are coming soon:  #Ultimate 🥏  #Volleyball 🏐  #Tennis🎾  #Basketball 🏀  #Soccer / #Futsal ⚽️ #MultiSport 🤾‍♂️",wagegap,|https://play.activefredericton.com/p/gender-equity-policy,25
16,16,Tonight! Catch me on Iraqi princess @reemedan ‘s show! #wagegap #burbank #flappers #LA #comedians #comics #standup #standupshow #persian #iranian #iraqi #American #men #women #slightlymorewomen,wagegap,|Wish I was there👏👏👏|Get it!! Looks like a fun show!,87
17,17,"Women outnumber men at all levels of education, but many pursue degrees in traditionally lower-paying fields. Researchers are seeing that women are slowly shifting to higher-paying majors; however, the #paygap is not moving in the same direction. #GenderParityNow ⠀
⠀
Read more: https://buff.ly/2AKVwGb⠀
.⠀
.⠀
.⠀⠀
.⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#dayofthegirl #femaleleadership #womenleadership #gendergap #genderbias #womenequality #womenequalityeveryday #womenequalityday #womenempoweringwomen #MassWomen #inclusionanddiversity #inclusion #womenempowerment #genderequity #womeninbusiness #womenleaders #choosewomen #wagegap #GenderEquality #equalpay #genderpaygap #equalpayday #GenderParity #womenonboards #femalechair #womeninpolitics",wagegap,|Theres no pay gap,16
18,18,"🙂 Currently: applying to jobs I’m drastically unqualified for. 😉
‍
🤯 You’ve probably heard the following statistic: Men apply for a job when they meet only 60% of the qualifications, but women apply only if they meet 100% of them. The finding comes from a Hewlett Packard internal report, and seems to suggest that the reasons why women generally don't apply because of three reasons:
‍
1- bias in some work environments
2- girls are strongly socialized to follow the rules [and in school are rewarded]
3- certifications and degrees have historically played a different role for women than for men
‍
💣💥 What does this mean?
When it comes to applying for jobs, WOMEN NEED TO DO THE SAME. Not all job applications appear as they seem. After all-- you can train on the skills, but employers care more about fit than what appears on paper.
‍
.
.
.
.
.
.
.
#wit #techbaddie #girlswhocode #technology #inspiration #supportYourhomegirls #mindset #growthmindset #hirewomen #limitingbeliefs #womenownedbiz #startyourbiz #businesscoach #genderequality #gendergap #genderpaygap #wagegap #womenrights #womenempowerment #equality #equalityforall #equalityforeveryone #equalitynow #womensequalityday  #womenequality #girlpower #feministpower #feminism",wagegap,"|Get it!!!|Thank you for this reminder 🙌🏽 I needed it ❤️|😍|Yessss!! One of the best tips received in my undergrad — apply for jobs even if you’re not qualified, accept interviews even if you’re not interested. They’re all learning experiences and you’ll never know what can come from it!",50
19,19,"On this Indigenous Peoples’ Day, we’re reminded that no one is free until we are all free✊🏽✊🏾✊🏿
.
#IndigenousPeoplesDay #WomenSupportingWomen #wagegap #coworkspace",wagegap,|✊🏼,12
20,20,"Waiting can be scary. Data from research says it could be 102 years before women are paid as much as men. ⁣
.⁣
.⁣
.⁣
.⁣
.⁣
🧟‍♀️ 🎃 ☠ 👻 ⁣
In celebration of Halloween we will be sharing a scary fact a week that will rattle your bones more than that haunted house you’re prepping for.",wagegap,|#feminism #feministhalloween #feminismfacts #feminist #equality #womensrights #equalrights #humanrights #genderequality #valid #prochoice #wagegap|The pay gap is false. Women work less hours and gravitate towards lower-paying jobs. It is illegal to pay women less than men for the same job.,7
21,21,"OUR TEAM IS GROWING! Please join us in welcoming Danielle.
.
Danielle is an employment and labour lawyer at SpringLaw. She is a passionate advocate with experience in both criminal and civil litigation. .
Prior to SpringLaw, Danielle was a lawyer at a prominent criminal defense firm in Toronto. She represented clients and assisted in hearings before all levels of Courts in Ontario and administrative tribunals. Danielle articled in a civil litigation boutique in Winnipeg, Manitoba, where she appeared before the Manitoba Court of Queen’s Bench and assisted in hearings, mediations and arbitrations.
.
Danielle also has experience as an Early Resolutions Officer at the Office of the Ontario Ombudsman, where she liaised with government officials and interested stakeholders and members of the public to ensure compliance with legislation as well as policies and procedures.
.
Danielle is bilingual in French and English and holds degrees in both common law and Quebec civil law from the University of Ottawa Faculty of Law. She is called to the Manitoba and Ontario bars. .
WELCOME DANIELLE!
.
More on our website springlaw.ca - clickable link in bio @springlawfirm .
#SpringLawFirm #employment #humanrightslaw #employment #EmploymentLaw #HRlaw #cdnlaw #emplaw #lawblog #EmployerResources #WorkplacePolicies #HR #unemployed #legalmarijuana #PayEquity #PayTransparency #PayGap #WageGap #HumanResources #startup #jobsearch #jobsearchtips #smallbusiness #termination #jobsearching #jobsearchadvice #startup #freelance #freelancer",wagegap,|❤️,8
22,22,"The cycle continues. I also say any party on the left is better than the right, but I *especially* mean to say that proportional representation makes so much more sense today... strategic voting is a waste of democracy. #socialist #marx #marxism #communismmemes #leftmemes #money #prageru #politicalmemes #helpeachother #eattherich #kapital #leftistmemes #leftistmemes #climatechange #climatestrike #investor #socialistmemes #climatedenial #savetheearth #ecologicalcollapse #wagegap #incomeinequality #wagewar #productivity #payme #berniesanders #warren #wealthgap #taxtherich #climateignorance #conservativememes",wagegap,"|I need a loyal and trustworthy sugar baby to spoil with allowance of $500 without giving me sugar but good conversations and pictures kindly text me on WhatsApp +1 518-207-1360, or Kik @ Drickpacheco if you are interested ❤️😍",81
23,23,"Happy Monday!!! Go own your week!!
.
P.S. I used to DREAD Mondays. Is this you? Do Sunday nights fill you with tension as you think about those Monday morning debrief meetings? Been there, hated that. 👉🏼👉🏼👉🏼👉🏼 One of the BEST things I ever did was to LEAP out of my comfort zone and quit my corporate job to run the startup I founded. That was in 2011 and I’ve never gone back.🙌🏼🙌🏼🙌🏼
I’ve become very passionate about helping other women snap out of their doldrum life and see their potential to run their own side hustle or full time business. Why? Because I know how life changing it can be when you leave a soul sucking job filled with NO POINT meetings and red tape- to work on things that EXCITE you and that you feel CALLED to do. 👉🏼👉🏼👉🏼 Most women STOP after they consider pursuing their passion because they convince themselves they can’t do it for whatever reason(s). That’s FEAR and lack of CONFIDENCE and it’s so common in women. 👉🏼👉🏼 Is that YOU? I see you. I created an online course designed SPECIFICALLY to teach you the behavioral change system I use and teach other successful lady bosses. Once you apply these practices, you’ll never give in to doubt or fear or #impostersyndrome again and you’ll crush your business goals. How does that sound? Better than years of mind numbing meetings and that #glassceiling of income combined with the sexy #wagegap we all love. NOT. Click the  link in my bio to learn more. #theoppositeofnice #sanantonio #sanantoniowoman #sanantoniomoms #sanantoniobusinesswomen #womeninbusiness",wagegap,|Lmao! Love your cups!|💯😂|I look forward to Monday’s 😉 owning my week👊🔥|❤️❤️❤️|Hahahahaha|😂😂 Love this!,74
24,24,I’m sad because nobody on the bus highfived me for catching all my throw-up with my hand.. Maybe next time.,wagegap,|🤤 Eat me alive daddy|OMG so #relatable|farmersonly.com|I will 🤡|U look like a middle aged divorced dad of 3,310
25,25,#feminism #equality #feminist #girlboss #bossgirl #ladyboss #wagegap #equalpay #bossbabe,wagegap,|🙌🏿|🙌🙌|@miss_shivonne ☝🏽💯👏🏽|😂😂😂😂😂😂😂😂🙏🏾🙏🏾🙏🏾EXACTLY!!!!!!!!!!!!!,21
26,26,"The Washington Mystics championship celebration has been postponed until Spring 2020! 🏆
•
So, you may be asking why they’re waiting MONTHS to honor their first title in team history...🤔
•
WELL, like most WNBA players, the majority of the team has to head overseas to start playing for teams in Europe, Asia, & Australia just days after winning. These jobs are typically much more lucrative than their WNBA gigs. 🏀
•
According to Lindsay Gibbs, Mystics players were making between $41,965 and $117,500, & players need that income to make the most of their short careers as professional basketball players!
•
This is pretty wild & a sad reality as they continues to strive for higher wages. #thegist",wagegap,"|#equality #payequality #wagegap #wnba #mystics #washington #washingtonmystics #wage #womenempowerment #supportourwomen #shecan #shecanplay #basketball #nba|This is sad and angering.|If WNBA had more fans the players would make more money, women should start watching and attending more games|✊✊",76
27,27,"The Washington Mystics championship celebration has been postponed until Spring 2020.🏆
•
So, you may be asking why they’re waiting MONTHS to honour their first title in team history...🤔
•
WELL, like most WNBA players, the majority of the team has to head overseas to start playing for teams in Europe, Asia, & Australia, just days after winning. These jobs are typically much more lucrative than their WNBA gigs. 🏀
•
According to Lindsay Gibbs, Mystics players were making between $41,965 and $117,500, & players need that income to make the most of their short careers as professional basketball players.
•
This is pretty wild & a sad reality as they continue to strive for higher wages. #thegist",wagegap,"|#equality #payequality #wagegap #wnba #mystics #washington #washingtonmystics #wage #womenempowerment #supportourwomen #shecan #shecanplay #basketball #nba|Damn, that's rough",228
28,28,"Read the last post to see a message from our PASA President: Aashi Prajapati.
-
We tried our best planning for the PASA PLUS1 Party.
-
Join us on Tuesday for a different kind of meeting. 👍
-
It was stressful managing everything. But the point of the party was to spread awareness of the club. We hope to have some people come on Tuesday. Even if there's one or two new members, we will welcome you. -one of the vice presidents: Lanie Mae.",wagegap,|#Equality #Diversity #Activism #Activist  #Intersectionality #Intersectional #EqualRights #HumanRights #Racism #IntersectionalFeminism #Feminism #Feminist #Feminists #SocialJustice #WomenEmpowerment #AsianRepresentation #RepresentionMatters #Immigrants #AsianParents #AsianPride #PacificIslander #AAPI #AsianAmerican #Asian #News #AsianNews #PraisintheAsian #Politics #CrazyRichAsians #WageGap,50
29,29,"You don’t need a 6-figure income to get 7-figures. You don’t need a 6-figure income to get 7-figures. You don’t need a 6-figure income to get 7-figures. You don’t need a 6-figure income to get 7-figures. You don’t need a 6-figure income to get 7-figures. You don’t need a 6-figure income to get 7-figures
.
Don’t count on the State to help, they may!! Or they may not. But we can’t just sit and wait around. We have to be our own government and manage our own resources efficiently .
Shoutout to @bossgirlmillionaire .
Funancialism
.
The Funancialist
.
#funancialism #teacher #teachersofinstagram #teacherstyle #teacherfollowteachers #teachers #specialeducation #specialeducationteacher #speechtherapy #abatherapy #raise #negotiations #andrewyang #yanggang #berniesanders #financialfreedom #teacherpayteachers #salary #wagegap #wages #incomeinequality #healthcare #work #allmight",wagegap,"|@han_chantelle this post was made for you! Teacher, Hannah, working toward that debtfree life.|This post and her last together make zero sense",32
30,30,"Of course women are an untapped reservoir! 
But nobody’s talking about the fact that 96% of women take a pay cut after having kids, 
or struggle to find work - employers and cultures and roles - that fit, despite being highly employable. 
45% of women (UK) want to return to work, but can’t find work that also supports their family goals. 
MOTHERS are an untapped reservoir - we just need better training + more companies who support flexible working. This doesn’t just mean leaving our desks early on a Friday - it means remote working, working from home, project based opportunities, and being paid properly! 
Tap if you agree - we’re a movement of working mothers demanding more + better - - we need your support! 
#wagegap #workingmother #workingmotherhood #mamaworks #motherhood #motherhoodunplugged #ukmums #momswhowork #momlife #motherhoodrising #unitedinmotherhood #flexibleworking #flexibleworkingformums #thejuggleisreal #strongertogether",wagegap,|niiiiiiice!,6
31,31,"Yeah, this won’t exactly fly off the shelves. Or make a stand for a wage gap that doesn’t exist😂 -L

@akacali sponsers this product!

#msmonopoly #wagegap #antifeminazi #sjw #liberal #conservative #democrat #republican #trump2020 #maga #prolife #endabortion #progod #christian #progun #gunssavelives #socialismsucks #capitalism",wagegap,"|We did it, boys. Sexism is no more.|Solving problems that don't exist is their #1 priority|Wonder what the board room meeting was like. 🤔|This fake feminism is super idiotic and annoying. Women aren’t supposed to hate men. They speak equality but want to be better. No logic.",107
32,32,"Morning Affirmations 🧘‍♀️🤑
If this is you, you must learn ‘How to Negotiate a Higher Salary like a Badass’ - up on BeBadass.in 🤓

#morningaffirmation #weekendreads #makingmoneymoves #negotiation #begreedy #bebold #bebadass",wagegap,|#saturdayreading #bigbucks #womenwhohustle #payme #howto #lifeskills #lifelesson #womenwhocode #workingwomen #earnmore #paygap #wagegap #genderpaygap #womendeservemore #moneytips #moneymoney #showmethemoney #genderequality #femaleempowerment #womenempowerment #weekendwisdom #feministart|@prithaaadey|Capitalist asf|@iamstephaniemay 🙏🏼,1132
33,33,"The orgasm gap is the source of all evil in the world; wars, hunger, draughts, natural disasters, climate change, poverty, slavery, psycological abuse and religious extremism. Women get 0.66 orgasm for every 1.00 orgasms men get! Unless we close the orgasm gap, our civilization will end in 12 years.
.
.
.
#wagegap .
#orgasmgap .
#mockingted .
#tedtalks .
#feminismiscancer",wagegap,"|Ima keep it 💯 here... 1. Women with these 10+ inch dildos ain’t helping the pussy hollow asf 
2.bouncing from many different dicks isn’t helping 
3.Not putting in effort laying like a snake not moving isn’t gonna help 
4. Communication women gotta communicate|You know what that was funny cuz it's so dumb. these females are just looking for anything to complain. next is how men's ears oppress women cuz we don't listen|I mean it’s true but that’s just how anatomy works 🤷‍♀️|Women act like men get off each time as if their pussy is gold even though it's been beaten more than a red headed step child.  They don't even know sometimes us men fake it just to get away from that large mouth bass.|I think the only gap modern women have is in their skull.... It's empty....|😂😂😂😂",27
34,34,"Top posts from this last month
•
I won't be posting tomorrow because I have a competition all day :/ so here's post #2 -Lila🌼💛
•
•
•
#feminism #feminist #equality #blm #lgbtq+ #safespace #pride #equalpay #mybodymychoice #prochoice #snowflake #support #reproductiverights #savethebees #scienceisreal  #asexual #bisexual #pansexual #wagegap #abortion #loveislove #gayagenda #fem #gay #trans",wagegap,"|Damn I figured ur comment section would be lit|Because they're funny. We are not laughing at the victims of rape, we are laughing at the rapist.",871
35,35,"Women have made up at least 40% of medical students in the US for over 25 years, yet this is not reflected in medical leadership.  Women account for only 18% of hospital CEOs and 16% of all deans and department chairs.  While the reasons behind this discrepancy are numerous and the potential solutions even more complex, there is hope.  We sat down with Dr. Shikha Jain, a hematology and oncology physician at Rush University Medical Center, to discuss some of these barriers to women leadership and some questions we all should be asking ourselves as we shape the future of medicine.⠀
Dr. Shikha Jain is a hematology and oncology physician at Rush University Medical Center in Chicago, IL. She is an assistant professor of medicine in the Division of Hematology, Oncology and Cell Therapy and the Physician Director of Media Relations for the Rush University Cancer Center.  She is the founder and host of the podcast “The Rush Cast,” founder of several “Women in Medicine” symposia, and is on the leadership team for SoMeDocs.⠀
Dr. Jain has also written for several organizations including Doximity, KevinMD, ASCO Connection, and completed a year as a Doximity writing fellow. Additionally, Dr. Jain has peer-reviewed publications on her research interests,  which include gender equity, career advancement for women, increasing underrepresented minorities in medicine, the impact of social media on medicine, and GI oncology. Her clinical research focus includes precision oncology, immunotherapy, neuroendocrine tumors and hepatocellular carcinoma. ⠀
⠀
@ShikhaJainMD⠀
#womeninmedicine #shikhajainMD #wagegap #womeninleadershipsummit #therushcast #medschool #medicaleducation #medschool #medicine  #MedEd  #healthcare #medical #doctor #medstudent #premed #physician #equality",wagegap,|Why does it matter if more men or women are ahead of leadership roles?  What's changes if more women our in leadership roles than men?,9
36,36,"There are so many stats out there about Black women in the workplace. And I make it a point for myself and my clients to ignore them all.⁣⁣
⁣⁣
Why?⁣⁣
⁣⁣
Because those stats refer to averages.⁣⁣
⁣⁣
The average Black woman gets paid 65 cents compared to white men.⁣⁣
⁣⁣
The average Black woman gets stuck in middle management and doesn't break into senior leadership.⁣⁣
⁣⁣
The average Black woman doesn't have a seat at the table.⁣⁣
⁣⁣
I am above average. My clients are above average. Are you?⁣⁣
⁣⁣
Top performers are not OK with being average. We are not OK with the status quo and coasting in our work (or in our life). We strive to break records, be the exception and use our gifts to make an impact.⁣⁣
⁣⁣
We get paid more. Get bigger and better opportunities. And defy all the odds stacked against us.⁣⁣
⁣⁣
Tag another top performer in the comments!⁣⁣
⁣⁣
⁣
⁣
#yourcareergirl #ladybosses #businessgirl #womeninbusinessrock #careeradvice #womeninbusiness #blackcareerwomen #careergoals #careerchange #womenintech #womenintechnology #blacktech #blackcreatives #afrotech #wagegap",wagegap,"|@lavancoding|Powerful...I am beyond average and glad to connect with you, my like minded sister!!!",64
37,37,"[10/3/19] Some stuff I had from my IG highlights, posted 7/3/19 and 7/9/19. I'm not especially passionate about sports, but it'd be cool if there was more equity between men's and women's sports teams in the U.S. ⚾️🏈⚽️⛳️🏀 #sports #womenssports #womenssportsteams #sportsteams #genderequality #equalpay #payequity #paygap #genderpaygap #wagegap #woc #blackenterprise #golf #pga #pgatour #basketball #nba #wnba #football #nfl #baseball #mlb #womensgolf #womensbasketball #womensfootball #womensbaseball #femaleathletes #goyalovelybastards #SunnyDMisc",wagegap,"|Please like my recent post!!! I will be posting daily NFL news, stats, and memes. Follow me @dc_nfl for the best NFL content on Instagram 🔥🔥|Women should start watching and attending more sports if they want this to happen",7
