SeqNo,text,hashtags,comments,likes
12,"I had to learn this the hard way. 
I thought that by attending college, and securing a career I’d subsequently created financial security.  I was sadly mistaken.

If you’ve ever worked in a toxic environment you know that your employment and advancement are often contingent on things other than your job performance. 
You could loose your position while delivering stellar results in the workplace. 
This could happen for several reasons, and they all stem from perception.  My direct and indirect experience with toxicity in professional spaces led to me writing the book @workplaceptsd (available Oct. 25, 2019) 
Have you ever experienced workplace bullying or harassment directly or indirectly? 
Drop your response below 👇🏾",workplaceharassment,|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth|You & @corporateagendainabox need to talk.She survived the corporate world and is self employed too.Oh the stories you girls could tell👌|🙌🏾🙌🏾🙌🏾|You are absolutely correct . You can deliver stellar performance and still experience hardship 💯. Toxicity is a lifestyle for some 😉.,8
13,Self-care Sunday’s ✨,workplaceharassment,|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth,29
14,"Available for purchase on Oct. 25, 2019 (two weeks from today) on Amazon, and by clicking the link in our bio",workplaceharassment,|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth,11
15,"Available 10/25/18 (two weeks from today) on Amazon, or by clicking the link in my bio 🙈",workplaceharassment,|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth,12
16,"“...At TracyLocke (a Delaware corporation wholly-owned by Omnicom Group Inc), unrepentant predominantly white, male executives perpetuate a ‘good old boys’ culture that facilitates unlawful discriminatory conduct toward women with impunity. This must stop.” -Attorney Kerrie Campbell",workplaceharassment,|#KerrieCampbellLaw #KCamLaw #KerrieCampbell #MeToo #Lawsuit #MadMen #GenderDiscrimination #SexualHarassment #Harassment #Discrimination #DiscriminationLaw #WorkPlaceHarassment #GenderEquality #DCLawyer #DCAttorney #WomenInLaw #WomenInBusiness #DCLaw #MeTooMovement #WashingtonDC #FemaleLawyer #Attorney #EmployeeRights,2
17,💚💚💚,workplaceharassment,"|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth|😢😢Because of ignorant Bullies, many innocent people like you could experience unwanted -unforgettable- gloomy childhood. Even as an adult in workplace, it is that villain of your life who makes your morning getting out of bed harder and harder each day. Yes, I've been there and it was more than just awful. After many years has passed, I regret that I did not take a legal action even just for a try. Check my book on instagram page for detail. It's now on amazon! [TO MY LAWYER : Anti-Bully Project Vol.1] will help you keep an accurate record of your rights infringed by Bullies. REMEMBER : You have your right to pursue Happiness. 😍😍",17
18,"Please don’t judge people.  You never know what it took for someone to get out of bed, look and feel as presentable as possible, and face the day. You never truly know the daily struggles of others 💚💚💚",workplaceharassment,|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth,17
19,"A silence-breaker herself, Attorney Kerrie Campbell is acutely aware of the difficult and far-reaching negative consequences of discrimination and harassment. To advance the fight to end sexual harassment and injustice in the workplace, she has joined the Legal Network for Gender Equity administered by the National Women’s Law Center.",workplaceharassment,|#KerrieCampbellLaw #KCamLaw #KerrieCampbell #DiscriminationLaw #SexualHarassment #Discrimination #EndTheFight #WorkPlaceHarassment #GenderEquality #WomensLaw #SpeakUp #DCLawyer #DCAttorney #WomenInLaw #DCLaw #MeToo #MeTooMovement #WashingtonDC #FemaleLawyer #Attorney #EmployeeRights #Inequality #Equality,3
20,If You Turn Your Cheek; You’re Not Just Weak You’re Just As Appalling As That Freak! 🤮 #SPITSOMEWISDOMCHALLENGE,workplaceharassment,"|💯💯💯💯|This the truth though!|#MeToo • #MeTooMovement • #WomenRights • #Women • #HumanRights • #Harassment • #WorkplaceHarassment • #ManUp • #DoSomething • #WeAreAllOne • #WeAreAReflectionOfOneAnother • #StepUp • #CutTheCrap • #BrownNoser • #AssKisser • #SorryExcuseForAMan • #Sucka • #YourAClown • #Lame • #ShowSomeRespect • #EqualRights • #RespectWomen • #BeHumane • #StopItFive • #LiveAndLetLive • #Horrific • #HeartBreaking • #Tragic • •
🎯 #QFLUX|💡💯",18
21,Happy Thursday!  Which one are you having today? 👀,workplaceharassment,|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth|It's Friday?|Trenta|Trenta definitely|That is so funny but true!😹|@fishgrease,39
22,"This year’s theme for World Mental Health Day is suicide prevention. We are encouraging you to prepare to take “40 seconds of action” today by focusing on the following:
- Raise awareness in your workplace of the significance of suicide
- Educate your employees on what can be done to prevent suicide
- Reduce the stigma associated with suicide
- Let anyone who is struggling know that they are not alone
- If you have EAP remind people it is there if they need it - Tell your people they are appreciated, a small gesture can go a long way!

Every 40 seconds a life is lost to suicide. Take 40 seconds out of your day today to do something about it and prevent suicide in your organisation.",workplaceharassment,|#suicide #suicideprevention #preventsuicide #corporatewellness #bullying #bullyingawareness #workplacebullying #workplaceharassment #keynote #keynotes #keynotespeaker #keynotespeakers #guestspeaker #guestspeakers #speakerscircle #professionalspeaker #corporatewellnesscoach #businessevents #corporateevent #corporatevents #corporatewellbeing #melbourneevents #perthevents #workplacewellbeing #publicspeaker #publicspeakers #workplaceculture #endbullying #businessculture #worldmentalhealthday,4
23,"➡️YET⬅️
-
#encounterswithmen #intersectionalfeminist #fightthepatriarchy #smashthepatriarchy #feminist #feminism #thefutureisequal #stopharassment #workplaceharassment #sexualharassment #safeguarding #equality #stopsexualharassment",workplaceharassment,"|Yet.|🖤Oh come on. Sack them both.|😤|REPORT THIS—the checks you cash may not even require work.🤷🏼‍♀️. These “men” are not the sharpest tools in the shed.  Bet you could be!! 💪|Why do we always have to wait for something bad to happen before we take it seriously. Why does someone have to be humiliated day after day wanting something to happen so that they can report it🙄|I agree with Kat.kgp, creeps like that will distract you from your goal.",127
24,louder for the people in the back #workplaceharassment #sexualharassment #itsnotfunny,workplaceharassment,|come #takebackthecampus with @huwomensresourcecenter tomorrow|Yeah,40
25,Happy Thursday ✨,workplaceharassment,|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth|Haha very entertaining!😹,28
26,Agreed ✨,workplaceharassment,"|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth|🙌|Some changes are not clearly seen!🤔Enjoy more positivity from our app, Get Nudged, as a motivational reminder!📲",53
27,😅 She probably should have withheld some of that ✨,workplaceharassment,|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth|I totally agree!💯,23
28,Why did you leave your last job?,workplaceharassment,|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth|I left because of my boss. This is so accurate.|Informative!🤔,36
29,"on a bit serious note.... it's like putting someone under a bad spell #enchanted #inktober #inktober2019 #workplaceharassment .
.
.
#lamp #genie #magicshow #workplace #ink #brushpen #cartoon #seriousstuff #comic #cartooning",workplaceharassment,|😂😂,36
30,"TIP #1 for Safety Month - focusing on the importance of empowering bystanders to support and act when they see bullying and harassment. So important. Do this through awareness, policies and good systems.",workplaceharassment,|#safetymonth #workplacesafety #nationalsafetymonth #safetyintheworkplace #bullying #bullyingawareness #workplacebullying #workplaceharassment #keynote #keynotes #keynotespeaker #keynotespeakers #guestspeaker #guestspeakers #speakerscircle #professionalspeaker #businessevent #businessevents #corporateevent #corporatevents #sydneyevents #melbourneevents #harassment #brisbaneevents #publicspeaker #publicspeakers #workplaceculture #endbullying #businessculture,4
31,"Hell, I worked 70+ hours a week for 15 years. Now you might understand why I don’t post many selfies. 🤡🤣😭
#museumofscifiandhorrorhistory #retro #joker #thejoker #ceasarromero #jacknicholson #heathledger #workingforaliving #drugs #ineedavacation #overworked #workplaceharassment #darkhumor #batman #dccomics #warnerbrothersstudio #clown #monsterkids",workplaceharassment,"|Hahaha! 🤡 I’m there with you on the 70 hour work week. Plus some!|This nails it|Lol yup!!|You said it man. 🙌 And,,, always make time for the Halloween. The best.|Lmfao! Fact! 😂|Did that in my 20's ...70+ hrs..and coke..and LSD..lol...now in my late 40's just work 2 jobs at 70 plus hrs a week",159
32,"Emma Watson Launches Hotline That Offers Free Legal Advice for Women Experiencing Workplace Harassment
Link in bio ––>
*
*
*
*
*
*
*
*
#sexualharassment #timesup #metoo #emmawatson @emmawatson #workplaceharassment #feminism #feminist #goodnews #goodnewsnetwork #gnn #news #goodnewsonly #goodnewsfeed #goodnewsworld #womensrights #womensrightsmatter #womensrightsarehumanrights #womensrightsmovement",workplaceharassment,|Way to go! 👏|So needed!!|Damn!! That is awesome! Thank you|❤️❤️❤️|Great idea|So men who get harassed (and it DOES happen) are SOL?!|💜|I know Hermione would approve|You are awsome!|What about something for the men as well?,1027
33,Push thru 💫 Happy Monday✨,workplaceharassment,"|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth|Now I see every reason why people talk good about @invest_with_kingcryp the forex trade expert, i never knew there is so much gain in trading until I gave a try with just $500 I had on me with @invest_with_kingcryp I made a withdrawal of $10,000 after 7 days of trading now I confirm himself contact @invest_with_kingcryp for a successful and profitable trade +447495-584056|Now I see every reason why people talk good about @invest_with_kingcryp the forex trade expert, i never knew there is so much gain in trading until I gave a try with just $500 I had on me with @invest_with_kingcryp I made a withdrawal of $10,000 after 7 days of trading now I confirm himself contact @invest_with_kingcryp for a successful and profitable trade +447495-584056|It’s the TRUTH!|Always go forward!👏",41
34,,workplaceharassment,|A CNF I wrote about being sexually harassed at a video store when I was in college.  #creativenonfiction #sexualharassment #writing #writing community #workplaceharassment #cnf,6
35,"I’ve been thinking a lot about the responses I get to posts where I out Indian men (it is ALWAYS Indian men) who send me inappropriate remarks.
I am always heartened to see that there are other Indian men who shake their heads at the bad behaviour and very kindly apologise for their race/gender even though I don’t feel they need to. When these nice men apologise though, you’re likely to see another Indian man chime in and ask his brother not to let down the clan🙄
So there are good apples out there, of course. I know that simply by merit of being married to Sashe.
But there are also men who DM me to whisper congratulatory words on my ‘strength’ and ‘confidence’. I don’t reply. I refuse to accept platitudes for having to fight creeps; I don’t do this because I have superhuman abilities, I do it because I am driven to act by the bad behaviour of others.
Which is why the comments that come in from women, gladden and sadden me at the same time.
For every instance of taking down a creep, millions of other interactions in cyberspace and the real world occur. 
We are subject to harassment and entitlement and bad behaviour so often, that when the naming and shaming happens, we cheer then sigh at the prevalence.
Because it happens every damned day to every other woman out there.
If there is anything that gets me down, it’s the enormity of the problem.
But I’m not going to stop naming and shaming.
Because I understand if you cannot, or cannot yet speak up. I am happy and willing to do this for you, but I need for you to consider that one day, you too must speak up.
You don’t have to agree to an injustice.
You don’t have to laugh along to a sexist joke.
You don’t have to accept that men will be men.
And you most certainly do not have to ignore unwelcomed attention.
If you don’t like something that is being said to you, you can tell the other person, firmly, that you do not like their behaviour.
What they choose to do at that point, will indicate to you what they are worth.
I’m sorry if YOU are hurt or if YOU are offended are NOT apologies.
I’m sorry I behaved badly or if I was an idiot IS an apology.
You deserve nothing less. You deserve to be treated well and more ❤️",workplaceharassment,"|#metoomovement #metooindia #metoomalaysia #timesup #womensupportingwomen #genderequality #beyou #beyourself  #empowerment #selfempowerment #feminist #feminism #selflove #confidence #antibullying #saynotobullying #breakthesilence  #empoweringgirls #empoweringwomen #empoweredwomen #stopsexualharrasment #sexualharrasment #sexualassault #workplacebullying #workplaceharassment #speakup #standupforyourself #standupforyourrights #sareesandstories #weekinsarees|💙|It make me so sad that somebody has to put out a post detailing what a proper apology is so that people understand how to apologize for their behaviour! But I'm also so very glad that you chose to do it and put your time and effort into it, Sumitra. Thank you for all your efforts to educate people about what is and isn't tolerable in cyberspace.|Hear ye..Hear ye|♥️|❤️|As a fellow Indian, I feel saddened that it so far it has been ONLY Indian men who have indulged in this kind of inappropriate behaviour/remarks. As a fellow woman, I feel sad that our tribe is subject to such behavior. And worse still, they do not seem to understand or do not want to understand.|🥂|I am so strongly releated with your views. I too reacted about the inappropriate behaviour of these men. They have no respect for we the women as a whole..... so pathetic|Whenever we are in KL next.. We should all meet at a coffeeshop, including Sashe & have a banter especially about Indian men 😄😄|You are an inspiration mam !",393
36,Self-care Saturday ✨,workplaceharassment,|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth|Choose wisely 👌|Protect your energy!🔥,55
37,"Freedom of speech - that’s what America stands for,at least it used too…
.
Ironically, there’s a law in New York City that penalizes people for saying this one mysterious word… and we’re talking about $250,000 of penalty charge!
.
So now the government is going to tell us what we can say and what we cannot say. We are starting to take this idea of offending people to such an extreme level it borderlines ridiculous.
.
In this episode, I reveal what this mysterious word is, and how it will impact our nation in the long run.
.
#Freedomofspeech #Firstamendment #1stamendment #Freespeech #Illiegalalien #Newyorkcityfine #NYCfine #Workplaceharassment #harassment #harasse #Ice 
#Greencard #Citizenship #Citizen #Americancitizen #Foreignsoil #Foreignnation #Foreigner #Foreign #workplacerules #Constitution #Constitutionallaw #Firstamendmentrights #Freedomofexpression #1stamendmentrights #Workplaceprotection",workplaceharassment,|That's soooo goood of you @anik to helping so many people like this. 😍😍🔥🔥🔥 #inspiration,101
38,TGIF 💫,workplaceharassment,|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth|As in ee|yes but i’m karma’s chosen one,67
39,"🚫 SEXUAL HARASSMENT🚫

It is real, it is unwelcomed and it is unfortunately happening as I type this message. There are two types of sexual harassment in the workplace. The first is Quid Pro Quo. What is “Quid Pro Quo harassment”? This is when the harasser is in a position of authority and uses his/her power to seek sexual favors for benefits, such as: promotions, pay raises, favorable schedule, etc. 🛑Examples: - Your boss asks you to have sex with him/her in exchange for a higher pay rate💰
- Your supervisor fires, demotes or disciplines you for ending your romantic relationship with him/her📈

The second type is hostile work environment. This type of sexual harassment occurs when there are severe and pervasive unwanted sexual comments, requests, demands, etc. This can come from a coworker or supervisor. ❌Examples: - Frequent sexual jokes - Displays of inappropriate sexual material
- Persistent and unwanted communications “Let’s go on a date” - Constant sexual/inappropriate text messages or emails, which could also include emojis such as: 😘😈😏👉🏼👌🏼💋👅💦 🍆 🍑 
Sexual harassment can happen to anyone.  You are NOT a sexual object.Derek Smith Law Group, PLLC is here to help you. ▪️Give us a call ▪️📲(305) 946-1884
#dereksmithlawgroup #labor #laborattorney #miamilabor #browardlabor #miamiattorneys #browardattorneys #discriminationlaw #miamilaw#floridalaw #floridaattorney #newyorkcity #nyc #sexualharassment #metoo #sexdiscrimination #genderdiscrimination #quidproquo #hostileworkenvironment #stopsexualviolence #stopsexualharrassment #workplaceharassment #lgbt",workplaceharassment,|Very informative! Thanks Cassie,29
40,"I always push leaders to be authentic with their team. One way is to genuinely get on board with important mental health days and initiatives, to show they really do care about their people.

World Mental Health Day is coming up ‪next Thursday,‬ the 10th of October‬. What are you planning for it to show them that their mental health is a priority for you and your organisation?

Everyone loves cupcakes? Send out an organisation-wide appreciative message? Have a yoga session or morning tea? Hand out some thank you cards? Tell them you care about them and that you are happy they work with you? Give them an early mark/later start (that is what I would probably like the most!)? Remind them about your EAP service if you have one? Give them a swish notepad? Options are endless... Get prepared!",workplaceharassment,|#mentalhealthisimportant #mentalhealthsupport #mentalillnessawareness #mentalillness #bullying #bullyingawareness #workplacebullying #workplaceharassment #keynote #keynotes #keynotespeaker #keynotespeakers #guestspeaker #guestspeakers #speakerscircle #professionalspeaker #workplacementalhealth #businessevents #mentalhealthawareness #corporatevents #sydneyevents #melbourneevents #mentalhealth #brisbaneevents #publicspeaker #publicspeakers #workplaceculture #endbullying #businessculture #eventspeaker,12
41,"Unfortunately, perception determines how people view you, thus how they treat you ✨",workplaceharassment,"|#job #bookstagram #book #bookshelf #bookclub #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination|I have decided to tell others how to earn as much as I do, feel free to contact @invest_with_dabir, don't hold up to those couples of hundreds,invest it and make good profits.|I’m stealing this but will credit you!!!",33
42,"AWARE's Workplace Harassment and Discrimination Advisory is a free service providing advice and support, both practical and emotional, to individuals facing discrimination or harassment at the workplace. WHDA will guide you through all your various options, internal or external - including approaching your company's HR, TAFEP, or filing a mediation request with TADM. Conversations will be kept strictly private and AWARE will never contact your employer. 
Call WHDA at 6950 9191 (Mon-Fri, 10 a.m. - 6 p.m.). More information at bit.ly/2mAxz0s",workplaceharassment,|#aware #awaresg #awaresingapore #singapore #gender #genderequality #women #womensrights #feminist #feminism #empowerment #WHDA #harassment #discrimination #sexualharassment #office #workplace #support #legaladvice #counselling #workplaceharassment #genderdiscrimination #maternity #maternityleave #pregnant #demoted,118
43,A little frostbite never killed anyone 😅,workplaceharassment,"|#job #professionalwomen #professionals #business #businesswoman #businessbabe #businesswomen #boss  #bossbabe #workplacebullying #workplace #workplacewellness #workplacediscrimination #workplaceharassment #womenempowerment #womensupportingwomen #blackgirlmagic #blackgirlsrock #essence #career #careeradvice #careerwoman #motivation #bullyingawareness #discrimination #trauma #traumarecovery #mentalhealth|My life changed right from the day I came in contact with Mr @Rodney_maxwells_btc after investing in the wrong hands and lost a lot of money because is very hard to differentiate the real managers from the fake, but I didn’t give up and gave myself the last trial with @Rodney_maxwells_btc and it worked out this time.|Haha😂 been there!",25
